id	question	answer
10	 Every time I eat spicy food, I poop blood. Why?	Hello. I have gone through your information and test reports (attachment removed to protect patient identity). So, in view of that, there are a couple of things that I can opine upon: Hope that helps. For more information consult a general surgeon online -->
11	 Will Kalarchikai cure multiple ovarian cysts in PCOD?	Hello. I just read your query. See Kalarachi Kai choornam is helpful in amenorrhea. As far as small cysts are concerned they are unmatured eggs which failed to induce menstrual cycle previously, as a result, they got collected in the ovary and they will remain in the ovary. Now, you have got your periods you can start trying for conception. But I advise you to do it under the supervision of a nearby gynecologist because egg size is important while conception and that you can know by ovulation study. Ovulation study is performed under the supervision of a gynecologist. For gall stones, surgical intervention is required generally. Medicine is not of much help.
12	 I masturbate only by rubbing the tip of the penis. Is it a wrong way?	Hi. For further doubts consult a sexologist online -->
13	 I have stomach pain and bloating after taking Augmentin 625. Why?	Hello. I welcome you to icliniq. Well it is not uncommon to have Gastric upsets after a course of antibiotic. And antibiotic like augmentin are notorious to cause this. This occur secondary to effect of augmentin on decreasing the amount of lactobacillus microorganism which are normally present in the human gut and help digest the food. You should take yougurt, Kefir (fermented yougurt), Kefir. and there are certain diets with probiotic activity you can start taking it. Plus take Tab Ecotec twice daily for 4 weeks, and Tab Levosulpiride 75 mg once daily half hour before meals.for 2 weeks. You can continue with acinil O syp. while rest of your current medication can be stopped. I hope this will correct your microbiota and will bring the same healthiness as before. good day Antibiotic induced dysbiosis Small intestinal bacterial overgrowth Antibiotic induced dysbiosis Let me know in one week time how you respond to above regimen, if persistent of symptoms I would consider testing and giving some safe antibiotic therapy for 2 weeks.
14	 Can a painless tooth be extracted since it has a hole in it?	Hello. I had gone through your question, and I can understand your concern. If the pain occurs only when you eat food and it gets stuck into it, it is reversible pulpitis. For that, you do not need to get it extracted. You need to get it filled, and it will cost you less than that of pulling (extraction). Second, you will save your tooth too. My suggestion is to get dental filling done as soon as possible. If you want to get it removed, you need to visit a doctor (dentist), and there will be no pain because during extraction local anesthesia is given.
15	 What does the darker pigmentation at the armpits indicate?	Hello. I understand your concern. The pictures are a bit hazy. But from the given images, it looks like a fungal infection by the name of pityriasis versicolor. I would also need to see your chest, upper back, and shoulders to be sure. Kindly send clear photos of the same to make a conclusive diagnosis. Meanwhile, you can start using the following medicines. 1. Tab Fluconazole 400 mg start and repeat once after a week. 2. 2 % Ketoconazole lotion apply for 5-7 mins and wash off once a day.
16	 I get fever during rainy and winter season. Why?	Hello. I need to know a few things, 1. Do you feel feverish, or does the thermometer record a temperature? 2. What other symptoms do you get? Runny or blocked nose, sore throat, throat pain with swallowing, headaches, body pains, etc. 3. Does anyone else around you (family members, co-workers, etc.) develop similar symptoms before or after you do? 4. Do you get any tests done like blood tests or X-rays during those episodes? From your description, it appears that you are getting frequent viral upper respiratory tract infections. These are acquired from other patients through the air (coughing, sneezing, etc.). They are usually short-lived and last no more than five to seven days. Since more than 300 different viruses can cause similar symptoms, you can get infected multiple times each time with a different virus. The same virus cannot affect you again. Unfortunately, antibiotics do not work against viruses. They are meant for bacterial infections only. However, doctors continue to prescribe antibiotics unnecessarily, and this has led to the emergence of widespread bacterial resistance. Other than symptomatic treatment, no medicine can cure or prevent these infections. They are self-limited, and you will get better even if you do not take any medication. The older you get, the less frequently you will get these infections as your body will be building up defenses with every disease. No household tips or vitamin supplements have been proven to work. Premature birth can lead to increased frequency of infections, but unless the infections are bacterial, not much can be done about them. Please get back to me with answers to the above questions and also attach any test reports you may have.
17	 Why does one develop swelling after snake bite?	Hi. I could understand your crisis. For further information consult a toxicologist online -->
18	 Why is there a continuous rise in temperature despite taking antibiotics?	Hi. I went through your post and investigation (attachment removed to protect patient identity). Regards. For further queries consult an internal medicine physician online -->
19	 Can my 3 year old son lead a normal life after sepsis?	Hello. Regards. For more information consult a paediatrician online -->
20	 What is the main reason for sepsis in a newborn?	Hi. For further information consult a paediatrician online -->
21	 I have bulging eye problem for a year even after some treatment. Why?	Hello. The condition you have described is called proptosis. The most common cause of proptosis is thyroid abnormality (hyperthyroidism) and called thyroid eye disease (TED). In this condition, eye muscle gets enlarged due to GAG (glycosaminoglycans) material deposition. This condition usually resolves after active and quiet phase that takes up to five to seven years. During this time the actual cause is treated (hyperthyroidism) and for proptosis steroids may be given (that you have already taken). Enlarged muscles can compress the optic nerve and can cause permanent vision loss. So you need to consult an endocrinologist for the treatment of thyroid abnormality. Quit smoking (if you are a smoker) and keep follow your eye doctor to avoid complication that can cause permanent vision loss. You are welcome for any queries.
22	 Why are my hands and feet cold and sweaty always?	Hello. Cold and sweaty hands and feet can happen in heart failure, anxiety, hyperthyroidism and shock. Numb feet, which are painful while walking can be due to neuropathy, nerve root compression at lumbosacral spine, or arterial occlusion in legs. The half closed eyelids can be ptosis, or something else. I suggest you get the following tests done: Since when you are having these problems? Do you have any impending doom, palpitation, breathlessness? I suggest you meet a neurologist in-person for proper clinical examination and better judgment. Revert with more information to a neurologist online -->
23	 Can thyroid problem cause excessive hair fall?	Hi. For further doubts consult an obstetrician and gynaecologist online -->
24	 Why do I face difficulty in losing weight?	Hello. I have gone through the reports (attachment removed to protect patient identity). For further information consult an obstetrician and gynaecologist online -->
25	 What does abutment of the nerve root mean?	Hi. I have gone through your query with diligence and would like you to know that I am here to help you. For further information consult a neurologist online -->
26	 Will Nano-Leo give permanent solution for erection problem?	Hi. For further doubts consult a sexologist online -->
27	 Every time I eat spicy food, I poop blood. Why?	Hello. I have gone through your information and test reports (attachment removed to protect patient identity). So, in view of that, there are a couple of things that I can opine upon: Hope that helps. For more information consult a general surgeon online -->
28	 Will Kalarchikai cure multiple ovarian cysts in PCOD?	Hello. I just read your query. See Kalarachi Kai choornam is helpful in amenorrhea. As far as small cysts are concerned they are unmatured eggs which failed to induce menstrual cycle previously, as a result, they got collected in the ovary and they will remain in the ovary. Now, you have got your periods you can start trying for conception. But I advise you to do it under the supervision of a nearby gynecologist because egg size is important while conception and that you can know by ovulation study. Ovulation study is performed under the supervision of a gynecologist. For gall stones, surgical intervention is required generally. Medicine is not of much help.
29	 I masturbate only by rubbing the tip of the penis. Is it a wrong way?	Hi. For further doubts consult a sexologist online -->
30	 Suffering from subclinical hyperthyroidism with anxiety and palpitations.	Hi, It is really sad to know about your daughter. 1. As a matter of fact your daughter seems to have acute thyroiditis. Though the thyroid profile has not shown full blown thyrotoxic state, she has subclinical hyperthyroidism with TSH being suppressed. Since how long has she been like this? Thyroiditis might take 8-12 weeks to settle. How old are the reports? Thyroiditis might leave the patient hypothyroid. 2. Secondly she is 15, puberty is another phase of major hormonal and emotional change over. How are her periods? Has she put on weight? or lost some? You have supplemented with multivitamins, please see if B12 upto 1500 mcg is being given and Vitamin D 1000 IU daily or 60,000 IU once a week is going. Also supplement her with calcium and magnesium and check these levels as well. Treat her with Propranolol 10mg twice a day to beat the anxiety and palpitations. Get back to an endocrinologist online -->
31	 Is PAP test valid for screening prostatitis symptoms?	Hi. I have gone through your query. Prostatic acid phosphatase (PAP) has been replaced by PSA (prostate-specific antigen test). It is better in the detection of prostate cancer compared to PAP. The elevation of PAP levels alone is not a cause for concern. I hope your treating doctor has done a rectal exam to find out any prostate nodules. If it is normal, then it is not necessary to repeat the tests. Hope this helps you. Feel free to revert back with any questions. For more information consult an urologist online -->
32	 Why is my free PSA abnormal?	Hi. Free PSA should be more than 15 % to rule out prostate cancer. Free PSA is an additional tool used when PSA is above 2.5 and we want to check whether high PSA is due to benign prostate growth or due to prostate cancer. Some laboratories use 25 % cutoff, but most have 15 % cutoff value. Since your total PSA is quite low and free PSA is above 15 %, you should not worry. If in doubt, repeat after a few months.
33	 I have frequent urination and minimal calcification. Does it mean prostate cancer?	Hi. I have gone through your query. It is extremely unlikely for you to develop prostate cancer at your age. Even in families with hereditary prostate cancer, the usual age people develop cancer is above 40 years of age at the lowest, though it is usually between 50 to 60 years. That said, in your case, it is too early to jump to conclusions of having prostate cancer in your family. The most likely explanation for your symptoms could be a mild urinary tract infection or even your increased fluid intake. Prostatic calcification is commonly seen and does not imply anything significant to worry now. If you are concerned, you can do a PSA (prostate-specific antigen) test and a prostate exam at 40 years. If normal, then you can repeat it after three years interval. For more information consult an urologist online -->
34	 Please enlighten me on non-invasive procedures to detect prostate cancer.	Hi. I have gone through your query. I concur with your urologist in the need for a biopsy. Any PSA (prostate-specific antigen) more than 4 or abnormal findings on DRE (digital rectal examination) needs evaluation to rule out prostate cancer. None of the non-invasive techniques are sufficiently accurate as a biopsy at present. The closest is an MRI which, if positive, needs to be confirmed by a biopsy, and if negative does not exactly rule out a malignancy, you will need a biopsy nevertheless. Many blood tests are available but those are only if the DRE is normal and will not be applicable in your situation. Hope this was helpful, feel free to revert back with any other questions. For more information consult a urologist online -->
35	 What is the reason for continuous eye allergy and irritation?	Hi. For further information consult an eye care ophthalmologist online -->
36	 When should I stop Clexane and Ecosprin should before delivery?	Hello. I feel that it would be the best if you do not stop these medicines without the advice of your doctor who recommended these and made a plan for your pregnancy because self-treatment strategy will lead to no benefits. And both of these drugs are safe to use, so you do not have to worry. Furthermore, for your knowledge, aspirin is usually stopped at 35 to 36 weeks of pregnancy, and Clexane (Enoxaparin sodium) is being continued until delivery, and even after that. So I would again say that please take advice from your particular doctor before stopping any of these medications as your pregnancy is very precious. I hope it has helped you. If you require any further queries, please do not hesitate to contact me.
37	 Are my symptoms due to HIV infection? I had a high-risk exposure 15 months ago.	Hi. The test kits used to diagnose HIV are highly sensitive and specific and gives accurate results. The majority of the people who are infected with HIV (human immunodeficiency virus) develop antibodies by three months, and even in the rare instances of late seroconversions, they develop HIV antibodies by six months. You can rely on your HIV screening test results. If there had been no other exposure other than that, you do not require any further test. The symptoms which you mentioned could be due to various reasons and cannot be attributed to HIV. In fact, there are no specific symptoms or signs which can lead to the diagnosis of HIV. As per the above information, you are HIV negative. Just relax. Hope your query is answered, but if you have any other query, please do not hesitate to ask or call anytime. Best wishes. For more information consult an HIV AIDS specialist online -->
38	 Is stretching exercise helpful for tight foreskin?	Hi. For further information consult a urologist online -->
39	 My husband is over-possessive and controlling. Please help me.	Hi. Most of the persons who are over-possessive of their partner show certain kinds of behavior that is uncommon in the general population. They feel less secure and this sense of insecurity is the driving force for the over-possessive nature. Someone who is insecure may doubt their partner's dedication and may, therefore, try to control them. In short, they feel vulnerable and will do anything to make sure they are not hurt. The sense of insecurity can stem from a number of situations including parents leaving a child, a past romantic partner who was unfaithful and many more. To control the possessiveness: Consult a psychiatrist online in case of further assistance in overcoming this situation -->
40	 What can cause pimples near penis?	Hi. It is very difficult to say what disease you have, because pimple does not come over penile area. It could be molluscum which looks like a pimple. If you can send me the photos, then I can definitely diagnose it. Explain the lesion properly like itching, pain, duration, pus filled, etc? Are you sexually active? Revert back with the photos to a dermatologist online -->
41	 What does abutment of the nerve root mean?	Hi. I have gone through your query with diligence and would like you to know that I am here to help you. For further information consult a neurologist online -->
42	 Will Nano-Leo give permanent solution for erection problem?	Hi. For further doubts consult a sexologist online -->
43	 Every time I eat spicy food, I poop blood. Why?	Hello. I have gone through your information and test reports (attachment removed to protect patient identity). So, in view of that, there are a couple of things that I can opine upon: Hope that helps. For more information consult a general surgeon online -->
44	 Will Kalarchikai cure multiple ovarian cysts in PCOD?	Hello. I just read your query. See Kalarachi Kai choornam is helpful in amenorrhea. As far as small cysts are concerned they are unmatured eggs which failed to induce menstrual cycle previously, as a result, they got collected in the ovary and they will remain in the ovary. Now, you have got your periods you can start trying for conception. But I advise you to do it under the supervision of a nearby gynecologist because egg size is important while conception and that you can know by ovulation study. Ovulation study is performed under the supervision of a gynecologist. For gall stones, surgical intervention is required generally. Medicine is not of much help.
45	 I masturbate only by rubbing the tip of the penis. Is it a wrong way?	Hi. For further doubts consult a sexologist online -->
46	 How to calculate the number of days of pregnancy?	Hi. For further information consult an obstetrician and gynaecologist online -->
47	 As I am having a history of miscarriages, will taking hCG injections help me to continue pregnancy?	Hello. Unfortunately what your doctor has said is right. Spotting in early pregnancy is normal. But a fall or no rise beta HCG is a poor sign. Beta hCG is a hormone produced from fetal tissue. At a level of 25 mIU/mL urine test is positive it doubles in 48 hours. So if the result of 7th is 125, then on 9th it should have been around 250 or more. Only healthy fetal tissue can produce an adequate amount of this hormone, so indirectly we get to know the health of the embryo even without seeing it. So it just means the fetal tissue is not growing. There can be lab errors, so to be on a safer side doctor has asked you to come for scan, to confirm. If you are worried about the repeated miscarriages, have yourself and your partner checked for any problem. Causes like blood sugar levels, thyroid hormone problems, or prolactin hormone abnormalities, any structural problems in the uterus or any problem in semen. Do not lose hope, if you are getting pregnant without much help, no matter what the outcome is, then you will surely have babies. I hope I have clarified your query, do write back if any more questions.
48	 How to increase my height?I am 23 years old.	Hello. Consult a nutritionist online for further follow up --->
49	 Is it safe to take Clenbuterol being overweight and asthmatic?	Hello. For further information consult an internal medicine physician online -->
50	 Shall I take Raw Bovine Ovary pills to increase breast size?	Hi. For further information consult an internal medicine physician online -->
51	 What can cause genital numbness?	Hello. For further information consult a neurologist online -->
52	 What causes warmness in the left side of chest?	Hello. This kind of chest pain occurs during stress and anxiety only. We label them nonspecific cardiac chest pain. But, we should always keep in consideration cardiac chest pain and acid reflux. It is important to differentiate between the all. However, the cardiac chest pain is severe and crushing in nature. It increases on activity like walking and exercising. It also gets radiated to left arm. Since your ECG and other cardiac workup are normal, the pain is not due to cardiac issues. For acid reflux, I would advise you to take a combination of Pantoprazole and Domperidone once a day. Your increase in heart rate might be possibly because of anxiety only. For anxiety, try to do meditation and if no relief, you would be treated with anti-anxiety drugs like Etizolam. For further clarifications consult a cardiologist online -->
53	 Why the absolute monocytes are low in my routine blood work?	Hi. Based on your query, my opinion is as follows (attachment removed to protect patient identity): For further information consult a hematologist online -->
54	 How to overcome sexual attraction towards my mother?	Hello. I can understand your problem. Sexual feelings in an adult towards a female are considered as normal and acceptable. But, such feelings towards any female with blood relationship are not acceptable in any society and this result in significant blow to reputation and respect. The feelings you have described towards your own mother are wrong and should be controlled. In future this might result in relationship problem in your case especially towards your wife. This might result in difficulty in maintaining relationship with any other female. To overcome the problem you have to work hard. One thing is that stop watching porn completely. If that is not possible at this moment then watch videos only and avoid going to forums or reading stories of incest online. Such things increase the perversions. Avoid watching any material that relates to incest. I am not saying that you should stop masturbating but stop thinking about incest. You are having guilty after incest ideas, so most likely these are intrusive ideas and should be treated also. If possible visit a psychiatrist for help. Medicines like Paroxetine or Fluoxetine can help to control your intrusive ideas and you will feel better. These are safe medicines. Spend your time in outdoor activities. Gym and sports will help to vent out your energy and you will feel better. Avoid spending more time on computer and if your work permits then stop using computer or internet for some days. This will help you to overcome the addiction. Psychological conflicts. For further information consult a psychiatrist online.--->
55	 Can Yasmin birth control pill be used as an emergency contraceptive pill?	Hi. How are you doing? Yes, as you have heard, Yasmin can be used as an emergency pill. Even if you have not ejaculated into her, she stands a chance of pregnancy if the pre-seminal fluid, the clear fluid that comes out before semen, which is rich in young healthy sperms, comes in contact with her genitals. As soon as possible, earlier the better, I suggest taking four tablets of Yasmin (combination of Ethinyl Estradiol and Drospirenone) at the time, repeat four more tablets after 12 hours. This being a high dose of hormones, it will suddenly increase the inner lining of the uterus. Then as it is a single dose, the inner lining will fall off. This makes it unfavorable for the possible embryo or baby to settle into the uterus. She will get her periods within 7 to 10 days of the last pill. But do not keep repeating this frequently, it can disturb the hormonal balance and can reduce the effectiveness of the pill. Consult your specialist doctor, discuss with him or her and start taking the medicines after their consent. This is an old method, but it is an effective emergency method. Just do not delay the pills. As time passes by, the effectiveness reduces. Hope I have clarified your query, do write back. All the best. For further queries consult an obstetrician and gynaecologist online -->
56	 What are the causes of brown discoloration of the skin around the fingertips?	Hi. Revert with more information to a cosmetologist online -->
57	 Please explain the reason for weight gain during pregnancy.	Hi. For further information consult an obstetrician and gynaecologist online -->
58	 What does abutment of the nerve root mean?	Hi. I have gone through your query with diligence and would like you to know that I am here to help you. For further information consult a neurologist online -->
59	 Will Nano-Leo give permanent solution for erection problem?	Hi. For further doubts consult a sexologist online -->
60	 Every time I eat spicy food, I poop blood. Why?	Hello. I have gone through your information and test reports (attachment removed to protect patient identity). So, in view of that, there are a couple of things that I can opine upon: Hope that helps. For more information consult a general surgeon online -->
61	 Will Kalarchikai cure multiple ovarian cysts in PCOD?	Hello. I just read your query. See Kalarachi Kai choornam is helpful in amenorrhea. As far as small cysts are concerned they are unmatured eggs which failed to induce menstrual cycle previously, as a result, they got collected in the ovary and they will remain in the ovary. Now, you have got your periods you can start trying for conception. But I advise you to do it under the supervision of a nearby gynecologist because egg size is important while conception and that you can know by ovulation study. Ovulation study is performed under the supervision of a gynecologist. For gall stones, surgical intervention is required generally. Medicine is not of much help.
62	 I masturbate only by rubbing the tip of the penis. Is it a wrong way?	Hi. For further doubts consult a sexologist online -->
63	 My gums behind the last tooth is swollen and painful. Is it due to food impaction?	Hi. Regards. For more information consult a dentist online -->
64	 Is talking to myself in front of the mirror a symptom of schizophrenia?	Hi. I read your query with keen interest and understand your concerns. From the available description, I do not think you have crossed the limit of sanity or you developed schizophrenia. Schizophrenia is altogether very different disorder where people have abnormal perceptions such as hearing voices when no one is present and seeing objects when nothing is there. I do not see any of them with you. In my view, you need to put your worries at rest and do what your mind and heart considers right. It may be abnormal for your mother, but there is no pathology with this. If you feel more assistance is required or my answer to your query is far from setting down the worries, then it is better to see a psychiatrist in person. For further information consult a psychiatrist online -->
65	 Why do I have a wet feeling inside the anus?	Hello. An anal leak is mostly due to underlying reasons, which need to be thoroughly investigated. Although we can together try reaching out on differential diagnosis. Regards. Revert with more information to a cosmetologist online -->
66	 Is Metmax injection the right one for head spinning?	Hi. Revert back with the answers to the above questions to a neurologist online -->
67	 Is it likely for HIV symptoms to show up after 5 to 6 weeks of possible exposure?	Hi. The answers to your queries are as follows: Hope your queries are answered, but please do not hesitate to ask or call anytime for any further query. Best wishes.
68	 What does abutment of the nerve root mean?	Hi. I have gone through your query with diligence and would like you to know that I am here to help you. For further information consult a neurologist online -->
69	 My period has been late by 13 days. What could be the reason?	Hello. The striking point in your history is that you have taken morning after pill thrice in the last 4 months. It has to be understood that the most common side effect of an emergency contraceptive pill is delaying the next 2-3 menstrual cycles. As your pregnancy test is negative even after 13 days post period, it clearly indicates that you are not pregnant . Hence, the delay in periods is likely to be due to ipill side effect. Or another possible reason for the delay could be stress induced hormonal imbalance during this menstrual cycle. Stress including emotional, psychological, physical or social disturbances, all have a bearing on the reproductive hormones and can easily delay your menses, once pregnancy is ruled out. It is suggested that you can wait for another week to allow your menses to resume naturally , if not then you may opt for a withdrawal bleed with progesterone pills to resume your menses. As pregnancy test is negative, you can rest assured and wait for another week safely. For further queries, consult an obstetrician and gynaecologist online -->
70	 Had blisters due to rough masturbation. How would they heal?	Hi. Revert back with the answers to a dermatologist online -->
71	 Can I get pregnant with fingering after he touched his penis?	Hi. In your case, there is a chance that semen might have entered into the vagina. As you have not done any sexual intercourse, there is less chance of getting pregnant. You have to rule out pregnancy by urine hCG (human chorionic gonadotropin) test. You can do this test at home. If pregnancy is not present, then thyroid problem and diabetes should be ruled out. Excess stress, obesity, prolonged fasting can also lead to a delayed period. You can consult a gynecologist for examination if needed. For more information consult a family physician online -->
72	 What is the treatment for inguinal lymphadenopathy?	Hi. I assure you not to worry as all things may get settled with proper care and follow-up. 1. Inguinal lymph nodes usually get prominent due to some infection (that you say have been ruled out) or some primary pathology of the nodes themselves. 2. The knots you are talking about also warrants to rule out if that is a vein pathology or lymph nodes can be benign or cancerous changes. Biopsy of the nodes is mandatory especially when there we see changes on ultrasound. 3. Weakness can be due to hemoglobin or red blood cell deficiency. Other causes of weakness may be hypothyroidism or fluid and electrolyte imbalances. 4. Your low sedimentation rate may be due to red blood cell, white blood cell changes and protein abnormality. Sickle cell disease also may cause it. But clinical correlation is the key and for that your physician needs to go for physical examination and if suspicion arises, he may refer you to hematologist. 5. Pain in the lymphatic region can be due to lymph nodes being pressed on or it is possibly from lipomatous changes. 6. I also prefer you to get a detailed heart evaluation from cardiologist as weakness, shoulder and arm issues warrant that too. This kind of symptoms also needs screening for hypertension and diabetes mellitus. Your physician can help you for that too. 7. If you have got tested the above in past 8 weeks, you may upload the reports here for my review and diagnosis. If more than 8 weeks old, please go for repeat fresh tests. Biopsy and histopathology of the lymph nodes. Can be decided on investigations and diagnosis. Revert back with the investigation reports to an internal medicine physician online.--->
73	 Is it normal to have cobblestone appearance at the back of throat after tonsillectomy?	Hi. All these are normal after tonsillectomy surgery. I will suggest some steps to relieve some of the symptoms you are facing. Gargles with Benzydamine mouth wash diluted in water few times daily will help soothe the area and relieve pain. You may also take Tylenol for a few days for the pain relief. To relieve inflammation (the engorged blood vessels and cobblestone formation) you can take a combination of Trypsin Chymotrypsin Bromelain Rutopside. This medicine will relieve inflammatory cells and products from the area. Cobblestone formation is normal after the surgery. Regarding the reduced length of the uvula and the scarring on the palate, I would say, they are due to bad surgical technique. We carefully dissect the tonsil out of the pillars so that there is nil scarring of pillars and change to the uvula. We use a coblator for the purpose that minimizes bleeding and postoperative pain.
74	 What does abutment of the nerve root mean?	Hi. I have gone through your query with diligence and would like you to know that I am here to help you. For further information consult a neurologist online -->
75	 Will Nano-Leo give permanent solution for erection problem?	Hi. For further doubts consult a sexologist online -->
76	 Every time I eat spicy food, I poop blood. Why?	Hello. I have gone through your information and test reports (attachment removed to protect patient identity). So, in view of that, there are a couple of things that I can opine upon: Hope that helps. For more information consult a general surgeon online -->
77	 Will Kalarchikai cure multiple ovarian cysts in PCOD?	Hello. I just read your query. See Kalarachi Kai choornam is helpful in amenorrhea. As far as small cysts are concerned they are unmatured eggs which failed to induce menstrual cycle previously, as a result, they got collected in the ovary and they will remain in the ovary. Now, you have got your periods you can start trying for conception. But I advise you to do it under the supervision of a nearby gynecologist because egg size is important while conception and that you can know by ovulation study. Ovulation study is performed under the supervision of a gynecologist. For gall stones, surgical intervention is required generally. Medicine is not of much help.
78	 I masturbate only by rubbing the tip of the penis. Is it a wrong way?	Hi. For further doubts consult a sexologist online -->
79	 Will Nano-Leo give permanent solution for erection problem?	Hi. For further doubts consult a sexologist online -->
80	 Despite negative pregnancy test, I did not get my periods. What to do?	Hi. Revert back after a week to an obstetrician and gynaecologist online -->
81	 After oil massage, my lower back is full of acne. Any suggestions?	Hello. Apply Adapalene and Benzoyl peroxide 2.5 % combination gel at bedtime over the back. Do not apply Cortisone cream (steroid). It can lead to worsening of the condition. Clinical photographs would have helped. For more information consult a dermatologist online -->
82	 A 10-year-old girl obsess spanking frequently. Is this due to Asperger's syndrome?	Hello. Your daughter is into the screen most of the time, and hence, it will be her primary advisor. She is just modeling what she sees and is quite common at this age. Try to minimize her interaction with the screen. She requires more human interaction. Put her in extracurricular activities to the maximum. Spend time with the child talking to her, and she will like it. Do not punish her, as it will have a negative impact, and the behavior can increase because of scolding. She will slowly get out of it. You can review with me for further follow-up.
